State Name,State Abbr,County Name,Has Airport,Has Ferry Terminal,Has Train Station
Nebraska,NE,Cuming County,0,0,0
Washington,WA,Wahkiakum County,0,1,0
New Mexico,NM,De Baca County,0,0,0
Nebraska,NE,Lancaster County,1,0,1
Nebraska,NE,Nuckolls County,0,0,0
South Dakota,SD,Minnehaha County,1,0,0
Texas,TX,Menard County,0,0,0
California,CA,Sierra County,0,0,0
Kentucky,KY,Clinton County,0,0,0
Ohio,OH,Hancock County,1,0,0
Texas,TX,Hale County,0,0,0
Alabama,AL,Clay County,0,0,0
Texas,TX,Armstrong County,0,0,0
Ohio,OH,Allen County,0,0,0
Georgia,GA,Mcduffie County,0,0,0
Wisconsin,WI,Sauk County,0,1,1
Arkansas,AR,Stone County,0,0,0
Oregon,OR,Wallowa County,0,0,0
Pennsylvania,PA,Beaver County,1,0,0
Mississippi,MS,Jasper County,0,0,0
Missouri,MO,Henry County,0,0,0
Colorado,CO,Saguache County,0,0,0
North Carolina,NC,Chatham County,0,0,0
Utah,UT,Rich County,0,0,0
Oklahoma,OK,Adair County,0,0,1
Ohio,OH,Lake County,0,0,1
Virginia,VA,Salem City,0,0,0
Virginia,VA,Montgomery County,0,0,0
Tennessee,TN,Hamilton County,1,1,1
New Mexico,NM,Otero County,1,0,0
New Mexico,NM,Catron County,0,0,0
Alabama,AL,Marengo County,0,0,0
Wyoming,WY,Lincoln County,0,0,0
Missouri,MO,Barton County,0,0,0
Texas,TX,Calhoun County,0,0,0
Virginia,VA,Poquoson City,0,0,0
West Virginia,WV,Pocahontas County,0,0,1
Texas,TX,Clay County,0,0,0
Virginia,VA,James City County,0,1,1
Nebraska,NE,Keith County,0,0,0
Nebraska,NE,Phelps County,0,0,1
Louisiana,LA,Calcasieu Parish,1,0,1
Louisiana,LA,Union Parish,0,0,0
Oklahoma,OK,Sequoyah County,0,0,0
Alabama,AL,Dekalb County,0,0,0
New York,NY,Steuben County,0,0,0
Pennsylvania,PA,Forest County,0,0,0
Louisiana,LA,Tangipahoa Parish,0,0,1
Virginia,VA,Stafford County,1,0,1
Michigan,MI,Menominee County,0,0,0
Indiana,IN,Jasper County,0,0,1
Georgia,GA,Brantley County,0,0,0
Georgia,GA,Lamar County,0,0,0
Indiana,IN,Steuben County,0,0,0
Texas,TX,Orange County,0,0,0
Ohio,OH,Fayette County,0,0,0
Massachusetts,MA,Hampshire County,0,0,1
Kentucky,KY,Allen County,0,0,0
North Carolina,NC,Alamance County,0,0,1
Kansas,KS,Greenwood County,0,0,0
Massachusetts,MA,Suffolk County,1,1,1
Idaho,ID,Jefferson County,0,0,0
Texas,TX,Gonzales County,0,0,0
Tennessee,TN,Marion County,0,1,0
Michigan,MI,Alpena County,1,0,0
Kentucky,KY,Wayne County,0,0,0
Tennessee,TN,White County,0,0,0
Texas,TX,Fannin County,0,0,0
Kansas,KS,Doniphan County,0,0,0
Texas,TX,Kerr County,0,0,0
Florida,FL,Hernando County,0,0,0
Florida,FL,Wakulla County,0,0,0
Florida,FL,Walton County,0,0,0
Mississippi,MS,Chickasaw County,0,0,0
Alaska,AK,Ketchikan Gateway Borough,1,1,1
Michigan,MI,Clare County,0,0,0
Kansas,KS,Republic County,0,0,0
Florida,FL,Volusia County,1,0,1
Oklahoma,OK,Canadian County,0,0,0
Georgia,GA,Floyd County,1,0,0
Nevada,NV,Churchill County,1,0,0
Nebraska,NE,Webster County,0,0,0
Illinois,IL,Hancock County,0,0,0
South Dakota,SD,Hutchinson County,0,0,0
Oregon,OR,Crook County,0,0,0
Vermont,VT,Franklin County,0,1,1
Michigan,MI,Marquette County,1,0,0
North Carolina,NC,Davidson County,0,0,0
Illinois,IL,Clay County,0,0,0
Missouri,MO,Knox County,0,0,0
Missouri,MO,Livingston County,0,0,0
Pennsylvania,PA,Tioga County,0,0,0
Nebraska,NE,Dakota County,0,0,0
Michigan,MI,Leelanau County,0,0,0
Virginia,VA,Surry County,0,1,0
Texas,TX,Refugio County,0,0,0
Ohio,OH,Butler County,0,0,1
Georgia,GA,Terrell County,0,0,0
Georgia,GA,Clayton County,1,0,1
Wyoming,WY,Fremont County,1,0,0
Indiana,IN,Ohio County,0,1,0
Georgia,GA,Columbia County,0,0,0
Colorado,CO,Sedgwick County,0,0,1
Montana,MT,Musselshell County,0,0,0
Pennsylvania,PA,Dauphin County,1,1,1
South Dakota,SD,Moody County,0,0,0
West Virginia,WV,Putnam County,0,0,0
New Jersey,NJ,Sussex County,0,0,0
Kansas,KS,Decatur County,0,0,0
Indiana,IN,Perry County,0,0,0
Mississippi,MS,Union County,0,0,0
Nebraska,NE,Boyd County,0,0,0
Minnesota,MN,Mille Lacs County,0,0,0
North Dakota,ND,Walsh County,0,0,1
Ohio,OH,Morgan County,0,0,0
Ohio,OH,Portage County,0,0,0
Wyoming,WY,Uinta County,1,0,0
Nevada,NV,Humboldt County,1,0,1
Texas,TX,Jim Hogg County,0,0,0
Colorado,CO,Cheyenne County,0,0,0
Oregon,OR,Clackamas County,0,1,1
Arkansas,AR,Polk County,0,0,1
Georgia,GA,Macon County,0,0,0
Indiana,IN,Benton County,0,0,0
Tennessee,TN,Morgan County,0,0,0
South Dakota,SD,Douglas County,0,0,0
