State,County,Latitude,Longitude
Nebraska,Cuming County,41.91640371087868,-96.78740066794737
Washington,Wahkiakum County,46.29113381398991,-123.43346991362195
New Mexico,De Baca County,34.3424135117032,-104.41195788796516
Nebraska,Lancaster County,40.78417354489713,-96.68775550398647
Nebraska,Nuckolls County,40.176379629151256,-98.04718499007348
Unknown,Las Piedras Municipio,18.187526524092196,-65.86931738305486
South Dakota,Minnehaha County,43.674178231468844,-96.79143650829626
Texas,Menard County,30.889782006927966,-99.82063586132584
California,Sierra County,39.58040010145207,-120.51599637865922
Kentucky,Clinton County,36.727481632647304,-85.13601356151014
Ohio,Hancock County,41.0019383759143,-83.66653540621988
Texas,Hale County,34.07051250962948,-101.82688130032685
Alabama,Clay County,33.26908586733415,-85.86054708469251
Texas,Armstrong County,34.9649255861593,-101.35740433877505
Ohio,Allen County,40.77152070381391,-84.10577942695234
Georgia,Mcduffie County,33.48283311260733,-82.48139944716317
Wisconsin,Sauk County,43.426663384542046,-89.94821666670128
Arkansas,Stone County,35.859876204251044,-92.15674637741593
Oregon,Wallowa County,45.57986537288535,-117.18102000904345
Pennsylvania,Beaver County,40.68226225756075,-80.34929543219964
Mississippi,Jasper County,32.01914811328426,-89.11888175808787
Missouri,Henry County,38.38516302104519,-93.79275002978282
Colorado,Saguache County,38.08055275484529,-106.28155556178494
North Carolina,Chatham County,35.702620396873826,-79.25539400463835
Utah,Rich County,41.6322741959922,-111.24450483685217
Oklahoma,Adair County,35.88393414297183,-94.65873914022424
Ohio,Lake County,41.91032889025722,-81.25090725930451
Virginia,Salem City,37.2864040875935,-80.05546950721578
Virginia,Montgomery County,37.174290752148536,-80.38721544272144
Tennessee,Hamilton County,35.18080866497649,-85.1647573628672
New Mexico,Otero County,32.61314467672002,-105.74144255453666
New Mexico,Catron County,33.915351884246476,-108.40476239895601
Alabama,Marengo County,32.24761341177563,-87.78951929256615
Wyoming,Lincoln County,42.26380161858721,-110.65594727619919
Missouri,Barton County,37.50230058329696,-94.34711077469841
Texas,Calhoun County,28.439109268551395,-96.61507367330574
Virginia,Poquoson City,37.15027831950902,-76.27049999547616
West Virginia,Pocahontas County,38.33179534201157,-80.00775249760409
Texas,Clay County,33.78553104195028,-98.20850330184655
Virginia,James City County,37.313337656866416,-76.77386709969937
Nebraska,Keith County,41.19879490596006,-101.6613959789361
Nebraska,Phelps County,40.51111303614264,-99.41454288798185
Louisiana,Calcasieu Parish,30.22929360325462,-93.35800479914253
Louisiana,Union Parish,32.83189241705975,-92.37480185805022
Oklahoma,Sequoyah County,35.4953460081696,-94.75518871301918
Alabama,Dekalb County,34.45976662489966,-85.80414373090854
New York,Steuben County,42.26781794791719,-77.38380248339287
Pennsylvania,Forest County,41.5130709314074,-79.23601565280818
Louisiana,Tangipahoa Parish,30.626645933537773,-90.40566270571514
Virginia,Stafford County,38.420719016517324,-77.45740038288241
Michigan,Menominee County,45.52512135828184,-87.50968400185165
Indiana,Jasper County,41.02299830519127,-87.11612124192517
Georgia,Brantley County,31.19687611183492,-81.98189236382535
Georgia,Lamar County,33.0765357583519,-84.13946265589303
Indiana,Steuben County,41.64386786766735,-85.00076484810519
Texas,Orange County,30.121313548563794,-93.89387611670674
Ohio,Fayette County,39.55988300249612,-83.45609728016503
Massachusetts,Hampshire County,42.340155585534184,-72.66378616490911
Kentucky,Allen County,36.75131655131199,-86.19041867024725
North Carolina,Alamance County,36.043709877005604,-79.39942481745217
Kansas,Greenwood County,37.87778756376504,-96.23263566980539
Massachusetts,Suffolk County,42.348690007858586,-70.98560531848818
Idaho,Jefferson County,43.82013245310646,-112.31130246014175
Texas,Gonzales County,29.456733334404838,-97.49252375155423
Tennessee,Marion County,35.129332748167656,-85.62199243637194
Michigan,Alpena County,45.03110750673705,-83.16520109097415
Kentucky,Wayne County,36.80126523364223,-84.8286311964817
Tennessee,White County,35.926348428982806,-85.45517717980276
Texas,Fannin County,33.5938097930702,-96.10682768349518
Kansas,Doniphan County,39.788080612869834,-95.14679424313462
Texas,Kerr County,30.061483803662867,-99.35015975322919
Florida,Hernando County,28.557480279911257,-82.52822532446051
Florida,Wakulla County,30.09475254703254,-84.34918699010957
Florida,Walton County,30.57123002674013,-86.17444521227422
Mississippi,Chickasaw County,33.92079985958424,-88.9478637891344
Alaska,Ketchikan Gateway Borough,55.488527114309186,-131.03050719913884
Michigan,Clare County,43.98789186631934,-84.84786074874725
Kansas,Republic County,39.827796320749705,-97.65062277358136
Florida,Volusia County,29.063447505232162,-81.14857435739508
Oklahoma,Canadian County,35.54244457867314,-97.98240129855178
Unknown,Quebradillas Municipio,18.463048271445622,-66.92626636523059
Unknown,St. Thomas Island,18.3286016876237,-64.96708278568704
Georgia,Floyd County,34.26316269149023,-85.21427864507162
Nevada,Churchill County,39.58088742637853,-118.33573102986195
Nebraska,Webster County,40.17643321160498,-98.4999473750311
Illinois,Hancock County,40.40377473244137,-91.16469554939894
South Dakota,Hutchinson County,43.33484668828241,-97.75441623499648
Oregon,Crook County,44.14217983718705,-120.35658095017016
Vermont,Franklin County,44.85763904827899,-72.91319095130247
Michigan,Marquette County,46.6628779661105,-87.57352410340582
North Carolina,Davidson County,35.7933322615351,-80.2127568767474
Illinois,Clay County,38.7541714928502,-88.49023742324029
Missouri,Knox County,40.128254892909396,-92.14807238721842
Missouri,Livingston County,39.78210291105462,-93.54827927862037
Pennsylvania,Tioga County,41.77218180294218,-77.25425479735469
Nebraska,Dakota County,42.39111181881754,-96.564513000321
Michigan,Leelanau County,45.151770858354645,-86.03849605204714
Virginia,Surry County,37.11691216034846,-76.88830957001858
Texas,Refugio County,28.321575300081992,-97.15952146321843
Ohio,Butler County,39.43862770363112,-84.57562560777663
Georgia,Terrell County,31.77688098636072,-84.43692220132563
Georgia,Clayton County,33.54197432083581,-84.35760622543752
